,rules,support,confidence,lift,,
74,{SBVT_0=medium} => {SBBR_3=high},0.07932201323,0.4342456609,1.003067419,,
,,,,,,
,,,,,,
,,,,,,1.137165793
,,,,,,1.166671671
1,{} => {SBRJ_4=low},0.4014876688,0.4014876688,1,,
2,{} => {SBBR_4=high},0.4053592659,0.4053592659,1,,
3,{} => {SBKP_1=low},0.4060909063,0.4060909063,1,,
4,{} => {SBKP_3=low},0.4064872115,0.4064872115,1,,
5,{} => {SBGL_2=high},0.4093832881,0.4093832881,1,,
6,{} => {SBBR_1=high},0.410938024,0.410938024,1,,
7,{} => {SBGL_4=high},0.410938024,0.410938024,1,,
8,{} => {SBCF_3=high},0.4136511904,0.4136511904,1,,
9,{} => {SBPA_4=low},0.4223089352,0.4223089352,1,,
10,{} => {SBGR_0=high},0.423924641,0.423924641,1,,
11,{} => {SBGL_3=high},0.4245343414,0.4245343414,1,,
12,{} => {SBBR_2=high},0.4271865378,0.4271865378,1,,
13,{} => {SBRF_0=low},0.4305398896,0.4305398896,1,,
14,{} => {SBGR_1=high},0.4313934701,0.4313934701,1,,
15,{} => {SBBR_3=high},0.4329177209,0.4329177209,1,,
16,{} => {SBKP_4=low},0.4395024845,0.4395024845,1,,
17,{} => {SBGR_2=high},0.4426729263,0.4426729263,1,,
18,{} => {SBGR_3=high},0.4519098863,0.4519098863,1,,
19,{} => {SBGR_4=high},0.4534036521,0.4534036521,1,,
20,{} => {SBRF_2=low},0.4744383136,0.4744383136,1,,
21,{} => {SBRF_1=low},0.4754138341,0.4754138341,1,,
22,{} => {SBRF_4=low},0.4830655733,0.4830655733,1,,
23,{} => {SBRF_3=low},0.4900466421,0.4900466421,1,,
24,{} => {SBVT_0=low},0.5063256409,0.5063256409,1,,
25,{} => {SBVT_1=low},0.5095875377,0.5095875377,1,,
26,{} => {SBVT_2=low},0.5135201049,0.5135201049,1,,
27,{} => {SBVT_3=low},0.5361399872,0.5361399872,1,,
28,{} => {SBFZ_0=low},0.5479376886,0.5479376886,1,,
29,{} => {SBVT_4=low},0.5632106819,0.5632106819,1,,
30,{} => {SBFZ_3=low},0.5778739749,0.5778739749,1,,
31,{} => {SBFZ_2=low},0.5907081669,0.5907081669,1,,
32,{} => {SBFZ_1=low},0.5917446575,0.5917446575,1,,
33,{} => {SBFZ_4=low},0.6060421303,0.6060421303,1,,
34,{} => {SBFL_0=low},0.6200042679,0.6200042679,1,,
35,{} => {SBGO_0=low},0.6328384599,0.6328384599,1,,
36,{} => {SBFL_1=low},0.6628052312,0.6628052312,1,,
37,{} => {SBFL_3=low},0.6704264854,0.6704264854,1,,
38,{} => {SBFL_2=low},0.6767063988,0.6767063988,1,,
39,{} => {SBFL_4=low},0.6794500503,0.6794500503,1,,
40,{} => {SBGO_1=low},0.700941987,0.700941987,1,,
41,{} => {SBGO_2=low},0.7222510136,0.7222510136,1,,
42,{} => {SBGO_3=low},0.7333475597,0.7333475597,1,,
43,{} => {SBBE_0=low},0.7481632777,0.7481632777,1,,
44,{} => {SBGO_4=low},0.7534981557,0.7534981557,1,,
45,{} => {SBEG_0=low},0.8020303021,0.8020303021,1,,
46,{} => {SBBE_3=low},0.8494345029,0.8494345029,1,,
47,{} => {SBBE_1=low},0.8720543853,0.8720543853,1,,
48,{} => {SBBE_4=low},0.8786086638,0.8786086638,1,,
49,{} => {SBBE_2=low},0.8839130567,0.8839130567,1,,
50,{} => {SBEG_1=low},0.8906502454,0.8906502454,1,,
51,{} => {SBEG_2=low},0.937536201,0.937536201,1,,
52,{} => {SBEG_3=low},0.9684784928,0.9684784928,1,,
53,{} => {SBEG_4=low},0.9727463951,0.9727463951,1,,
189,{SBVT_0=high} => {SBBE_2=low},0.2746699997,0.8831601647,0.9991482284,,
102,{SBVT_0=medium} => {SBGO_4=low},0.1374264549,0.7523364486,0.9984582483,,
111,{SBVT_0=medium} => {SBEG_4=low},0.1772398866,0.970293725,0.9974786129,,
188,{SBVT_0=high} => {SBBE_4=low},0.2722007133,0.875220545,0.996143768,,
81,{SBVT_0=medium} => {SBRF_4=low},0.0878883029,0.481141522,0.9960169978,,
75,{SBVT_0=medium} => {SBKP_4=low},0.07990122855,0.4374165554,0.9952538855,,
192,{SBVT_0=high} => {SBEG_3=low},0.2996677133,0.9635365615,0.9948972214,,
106,{SBVT_0=medium} => {SBBE_4=low},0.1587049965,0.8688251001,0.9888647084,,
180,{SBVT_0=high} => {SBGO_1=low},0.2155290675,0.6930013723,0.9886715094,,
181,{SBVT_0=high} => {SBGO_2=low},0.221930921,0.7135855715,0.9880021738,,
83,{SBVT_0=medium} => {SBVT_1=low},0.09160747493,0.5015020027,0.9841331774,,
186,{SBVT_0=high} => {SBBE_3=low},0.2578422705,0.8290531268,0.9760059474,,
191,{SBVT_0=high} => {SBEG_2=low},0.2843032649,0.9141344834,0.9750391318,,
90,{SBVT_0=medium} => {SBFZ_1=low},0.1052342774,0.5761014686,0.9735642922,,
182,{SBVT_0=high} => {SBGO_3=low},0.2214431607,0.7120172515,0.9709137804,,
187,{SBVT_0=high} => {SBBE_1=low},0.2629942383,0.8456185062,0.9696855156,,
185,{SBVT_0=high} => {SBEG_0=low},0.2414718166,0.7764163889,0.9680636591,,
190,{SBVT_0=high} => {SBEG_1=low},0.2674755358,0.8600274456,0.9656174801,,
96,{SBVT_0=medium} => {SBFL_2=low},0.1189830198,0.6513684913,0.9625570151,,
91,{SBVT_0=medium} => {SBFZ_4=low},0.1065146481,0.5831108144,0.9621621753,,
100,{SBVT_0=medium} => {SBGO_3=low},0.1288601652,0.7054405874,0.9619457761,,
184,{SBVT_0=high} => {SBGO_4=low},0.2252537878,0.724269751,0.9612097197,,
176,{SBVT_0=high} => {SBFL_1=low},0.1953175014,0.6280141149,0.9475092913,,
173,{SBVT_0=high} => {SBFZ_4=low},0.1783983172,0.5736130171,0.9464903319,,
183,{SBVT_0=high} => {SBBE_0=low},0.220193275,0.7079984317,0.9463154003,,
175,{SBVT_0=high} => {SBGO_0=low},0.1858671463,0.5976279161,0.9443609293,,
178,{SBVT_0=high} => {SBFL_2=low},0.1987318233,0.6389923544,0.9442682315,,
157,{SBVT_0=high} => {SBKP_4=low},0.1287991952,0.4141344834,0.9422801873,,
98,{SBVT_0=medium} => {SBGO_1=low},0.1205987257,0.6602136182,0.9418948078,,
162,{SBVT_0=high} => {SBRF_1=low},0.1391336158,0.4473632621,0.9409975689,,
179,{SBVT_0=high} => {SBFL_4=low},0.1985793982,0.6385022545,0.939733913,,
99,{SBVT_0=medium} => {SBGO_2=low},0.1232509222,0.6747329773,0.9342084186,,
177,{SBVT_0=high} => {SBFL_3=low},0.1938542207,0.6233091551,0.9297203626,,
95,{SBVT_0=medium} => {SBFL_3=low},0.113770082,0.6228304406,0.9290063179,,
172,{SBVT_0=high} => {SBFZ_1=low},0.1709294882,0.549598118,0.9287758006,,
164,{SBVT_0=high} => {SBRF_3=low},0.1408712618,0.4529504019,0.924300593,,
80,{SBVT_0=medium} => {SBRF_1=low},0.08020607871,0.4390854473,0.92358576,,
93,{SBVT_0=medium} => {SBGO_0=low},0.1066365881,0.5837783712,0.9224761265,,
85,{SBVT_0=medium} => {SBVT_3=low},0.09020516416,0.4938251001,0.9210749281,,
161,{SBVT_0=high} => {SBRF_2=low},0.135780264,0.4365810625,0.9202061681,,
174,{SBVT_0=high} => {SBFL_0=low},0.1768435814,0.5686139973,0.9171130373,,
163,{SBVT_0=high} => {SBRF_4=low},0.13770082,0.4427563223,0.9165553225,,
171,{SBVT_0=high} => {SBFZ_2=low},0.1683382617,0.5412664183,0.9163008887,,
92,{SBVT_0=medium} => {SBFL_0=low},0.1025515959,0.5614152203,0.9055021866,,
94,{SBVT_0=medium} => {SBFL_1=low},0.1093497546,0.5986315087,0.9031786119,,
168,{SBVT_0=high} => {SBFZ_0=low},0.1536444837,0.4940207802,0.9016002923,,
170,{SBVT_0=high} => {SBFZ_3=low},0.1584916014,0.5096059596,0.8818634888,,
166,{SBVT_0=high} => {SBVT_2=low},0.1369386946,0.4403058224,0.8574266484,,
167,{SBVT_0=high} => {SBVT_3=low},0.1427003628,0.4588316016,0.8558055967,,
169,{SBVT_0=high} => {SBVT_4=low},0.148675426,0.4780435209,0.8487827667,,
84,{SBVT_0=medium} => {SBVT_2=low},0.07865134286,0.4305740988,0.8384756404,,
165,{SBVT_0=high} => {SBVT_1=low},0.1272444593,0.4091354636,0.8028757247,,
