,rules,support,confidence,lift,,
33,{} => {SBFZ_4=low},0.6060421303,0.6060421303,1,,
34,{} => {SBFL_0=low},0.6200042679,0.6200042679,1,,
35,{} => {SBGO_0=low},0.6328384599,0.6328384599,1,,
36,{} => {SBFL_1=low},0.6628052312,0.6628052312,1,,
37,{} => {SBFL_3=low},0.6704264854,0.6704264854,1,,
38,{} => {SBFL_2=low},0.6767063988,0.6767063988,1,,
39,{} => {SBFL_4=low},0.6794500503,0.6794500503,1,,
40,{} => {SBGO_1=low},0.700941987,0.700941987,1,,
41,{} => {SBGO_2=low},0.7222510136,0.7222510136,1,,
42,{} => {SBGO_3=low},0.7333475597,0.7333475597,1,,
43,{} => {SBBE_0=low},0.7481632777,0.7481632777,1,,
44,{} => {SBGO_4=low},0.7534981557,0.7534981557,1,,
45,{} => {SBEG_0=low},0.8020303021,0.8020303021,1,,
46,{} => {SBBE_3=low},0.8494345029,0.8494345029,1,,
47,{} => {SBBE_1=low},0.8720543853,0.8720543853,1,,
48,{} => {SBBE_4=low},0.8786086638,0.8786086638,1,,
49,{} => {SBBE_2=low},0.8839130567,0.8839130567,1,,
50,{} => {SBEG_1=low},0.8906502454,0.8906502454,1,,
51,{} => {SBEG_2=low},0.937536201,0.937536201,1,,
52,{} => {SBEG_3=low},0.9684784928,0.9684784928,1,,
53,{} => {SBEG_4=low},0.9727463951,0.9727463951,1,,
182,{SBCT_0=high} => {SBEG_3=low},0.3466756089,0.9671712876,0.9986502486,,
56,{SBCT_0=medium} => {SBKP_3=low},0.130353931,0.4057695957,0.998234592,,
83,{SBCT_0=medium} => {SBFZ_1=low},0.1896777734,0.5904346176,0.9977861398,,
75,{SBCT_0=medium} => {SBVT_0=low},0.1622107734,0.5049345227,0.9972525226,,
181,{SBCT_0=high} => {SBEG_2=low},0.3350608176,0.9347678177,0.9970471718,,
104,{SBCT_0=medium} => {SBEG_4=low},0.3115568698,0.9698234959,0.9969952094,,
92,{SBCT_0=medium} => {SBGO_2=low},0.2312898211,0.7199658379,0.9968360367,,
177,{SBCT_0=high} => {SBBE_1=low},0.3115873548,0.8692804899,0.9968191257,,
175,{SBCT_0=high} => {SBEG_0=low},0.2863762461,0.7989453989,0.9961536326,,
79,{SBCT_0=medium} => {SBFZ_0=low},0.1750144804,0.5447902828,0.9942559055,,
101,{SBCT_0=medium} => {SBEG_1=low},0.284425205,0.8853672424,0.9940683752,,
81,{SBCT_0=medium} => {SBFZ_3=low},0.1841904704,0.5733535775,0.9921775376,,
66,{SBCT_0=medium} => {SBBR_3=high},0.1379447002,0.4293983678,0.9918706189,,
176,{SBCT_0=high} => {SBBE_3=low},0.3016797244,0.8416397346,0.9908235794,,
90,{SBCT_0=medium} => {SBFL_4=low},0.2161387678,0.6728031885,0.9902172914,,
59,{SBCT_0=medium} => {SBCF_3=high},0.1314513916,0.4091858038,0.9892049466,,
80,{SBCT_0=medium} => {SBVT_4=low},0.1789775325,0.5571265895,0.9891974839,,
174,{SBCT_0=high} => {SBGO_4=low},0.2670182605,0.7449396156,0.9886415912,,
67,{SBCT_0=medium} => {SBKP_4=low},0.139438466,0.4340482065,0.9875898812,,
