,rules,support,confidence,lift,,
22,{} => {SBRF_4=low},0.4830655733,0.4830655733,1,,
23,{} => {SBRF_3=low},0.4900466421,0.4900466421,1,,
24,{} => {SBVT_0=low},0.5063256409,0.5063256409,1,,
25,{} => {SBVT_1=low},0.5095875377,0.5095875377,1,,
26,{} => {SBVT_2=low},0.5135201049,0.5135201049,1,,
27,{} => {SBVT_3=low},0.5361399872,0.5361399872,1,,
28,{} => {SBFZ_0=low},0.5479376886,0.5479376886,1,,
29,{} => {SBVT_4=low},0.5632106819,0.5632106819,1,,
30,{} => {SBFZ_3=low},0.5778739749,0.5778739749,1,,
31,{} => {SBFZ_2=low},0.5907081669,0.5907081669,1,,
32,{} => {SBFZ_1=low},0.5917446575,0.5917446575,1,,
33,{} => {SBFZ_4=low},0.6060421303,0.6060421303,1,,
34,{} => {SBFL_0=low},0.6200042679,0.6200042679,1,,
35,{} => {SBGO_0=low},0.6328384599,0.6328384599,1,,
36,{} => {SBFL_1=low},0.6628052312,0.6628052312,1,,
37,{} => {SBFL_3=low},0.6704264854,0.6704264854,1,,
38,{} => {SBFL_2=low},0.6767063988,0.6767063988,1,,
39,{} => {SBFL_4=low},0.6794500503,0.6794500503,1,,
40,{} => {SBGO_1=low},0.700941987,0.700941987,1,,
41,{} => {SBGO_2=low},0.7222510136,0.7222510136,1,,
42,{} => {SBGO_3=low},0.7333475597,0.7333475597,1,,
43,{} => {SBBE_0=low},0.7481632777,0.7481632777,1,,
44,{} => {SBGO_4=low},0.7534981557,0.7534981557,1,,
45,{} => {SBEG_0=low},0.8020303021,0.8020303021,1,,
46,{} => {SBBE_3=low},0.8494345029,0.8494345029,1,,
47,{} => {SBBE_1=low},0.8720543853,0.8720543853,1,,
48,{} => {SBBE_4=low},0.8786086638,0.8786086638,1,,
49,{} => {SBBE_2=low},0.8839130567,0.8839130567,1,,
50,{} => {SBEG_1=low},0.8906502454,0.8906502454,1,,
51,{} => {SBEG_2=low},0.937536201,0.937536201,1,,
52,{} => {SBEG_3=low},0.9684784928,0.9684784928,1,,
53,{} => {SBEG_4=low},0.9727463951,0.9727463951,1,,
99,{SBRF_0=medium} => {SBGO_4=low},0.1819650642,0.7534713456,0.9999644192,,
90,{SBRF_0=medium} => {SBGO_0=low},0.1528213883,0.6327947488,0.9999309285,,
175,{SBRF_0=high} => {SBBE_1=low},0.2854921806,0.8705149656,0.9982347206,,
97,{SBRF_0=medium} => {SBGO_3=low},0.1766911563,0.7316334259,0.9976625902,,
92,{SBRF_0=medium} => {SBFL_3=low},0.1612352529,0.6676344357,0.9958354127,,
84,{SBRF_0=medium} => {SBVT_4=low},0.1354449288,0.5608432214,0.9957964921,,
107,{SBRF_0=medium} => {SBEG_3=low},0.2315032162,0.9585963141,0.9897961815,,
170,{SBRF_0=high} => {SBGO_3=low},0.2378440996,0.7252277375,0.98892773,,
85,{SBRF_0=medium} => {SBFZ_3=low},0.1378227601,0.5706892199,0.9875669171,,
104,{SBRF_0=medium} => {SBBE_2=low},0.2087004237,0.8641757132,0.9776704922,,
105,{SBRF_0=medium} => {SBEG_1=low},0.2099807944,0.8694774047,0.9762276597,,
77,{SBRF_0=medium} => {SBRF_4=low},0.113770082,0.4710931583,0.9752157561,,
101,{SBRF_0=medium} => {SBBE_3=low},0.1996768588,0.8268114113,0.9733668793,,
93,{SBRF_0=medium} => {SBFL_2=low},0.1587964515,0.6575359758,0.971670989,,
106,{SBRF_0=medium} => {SBEG_2=low},0.2197969698,0.9101237061,0.9707611346,,
171,{SBRF_0=high} => {SBBE_0=low},0.2380879798,0.7259713701,0.9703381491,,
167,{SBRF_0=high} => {SBFL_4=low},0.2160168277,0.6586726157,0.9694202178,,
71,{SBRF_0=medium} => {SBKP_4=low},0.102764991,0.4255238576,0.9681944303,,
102,{SBRF_0=medium} => {SBBE_1=low},0.203700881,0.8434738702,0.9672262241,,
168,{SBRF_0=high} => {SBGO_1=low},0.2221138311,0.6772634319,0.9662189517,,
98,{SBRF_0=medium} => {SBBE_0=low},0.17422187,0.7214087352,0.9642397009,,
174,{SBRF_0=high} => {SBBE_3=low},0.267963296,0.8170663692,0.9618944914,,
164,{SBRF_0=high} => {SBFL_1=low},0.2087309088,0.6364565904,0.9602467821,,
103,{SBRF_0=medium} => {SBBE_4=low},0.203639911,0.8432214087,0.9597235304,,
176,{SBRF_0=high} => {SBBE_4=low},0.2747309697,0.8377021751,0.9534417422,,
166,{SBRF_0=high} => {SBFL_2=low},0.2115965003,0.645194274,0.9534330918,,
86,{SBRF_0=medium} => {SBFZ_2=low},0.135841234,0.5624842212,0.9522201531,,
169,{SBRF_0=high} => {SBGO_2=low},0.2254976679,0.6875813348,0.951997743,,
165,{SBRF_0=high} => {SBFL_3=low},0.2085784837,0.63599182,0.9486376716,,
163,{SBRF_0=high} => {SBGO_0=low},0.1967502972,0.5999256367,0.9479917463,,
100,{SBRF_0=medium} => {SBEG_0=low},0.1831234948,0.7582681141,0.9454357424,,
80,{SBRF_0=medium} => {SBVT_1=low},0.1162698534,0.4814440798,0.9447720836,,
144,{SBRF_0=high} => {SBKP_4=low},0.1359326891,0.4144822458,0.9430714509,,
154,{SBRF_0=high} => {SBVT_2=low},0.1587964515,0.4841978063,0.9428994146,,
94,{SBRF_0=medium} => {SBFL_4=low},0.1546504893,0.6403685938,0.9424807512,,
155,{SBRF_0=high} => {SBVT_3=low},0.1644666646,0.5014872653,0.9353662798,,
95,{SBRF_0=medium} => {SBGO_1=low},0.1573941408,0.6517293613,0.9297907293,,
76,{SBRF_0=medium} => {SBRF_1=low},0.1065146481,0.4410502398,0.9277185648,,
157,{SBRF_0=high} => {SBVT_4=low},0.1711733683,0.521937163,0.926717443,,
161,{SBRF_0=high} => {SBFZ_4=low},0.1832759199,0.5588399331,0.9221140002,,
96,{SBRF_0=medium} => {SBGO_2=low},0.1605645825,0.6648573593,0.920535031,,
158,{SBRF_0=high} => {SBFZ_3=low},0.1744352651,0.5318832497,0.9204139185,,
87,{SBRF_0=medium} => {SBFZ_1=low},0.1313294516,0.5438020702,0.9189809545,,
153,{SBRF_0=high} => {SBVT_1=low},0.1534920587,0.4680237962,0.9184365032,,
81,{SBRF_0=medium} => {SBVT_2=low},0.1136176569,0.4704620045,0.9161510914,,
150,{SBRF_0=high} => {SBRF_4=low},0.1447428589,0.4413459751,0.9136357454,,
91,{SBRF_0=medium} => {SBFL_1=low},0.1461451696,0.6051502146,0.9130136367,,
79,{SBRF_0=medium} => {SBVT_0=low},0.1115446758,0.4618783136,0.9122159263,,
162,{SBRF_0=high} => {SBFL_0=low},0.1851964759,0.5646960402,0.9107937951,,
159,{SBRF_0=high} => {SBFZ_2=low},0.1763558211,0.5377393568,0.910329985,,
89,{SBRF_0=medium} => {SBFL_0=low},0.1361155992,0.5636202979,0.9090587389,,
152,{SBRF_0=high} => {SBVT_0=low},0.1507484072,0.459657929,0.9078306367,,
160,{SBRF_0=high} => {SBFZ_1=low},0.1718745237,0.5240751069,0.8856440024,,
148,{SBRF_0=high} => {SBRF_2=low},0.1371825748,0.4182933631,0.8816601676,,
156,{SBRF_0=high} => {SBFZ_0=low},0.1576075359,0.4805725971,0.8770570215,,
149,{SBRF_0=high} => {SBRF_1=low},0.1328537024,0.4050938836,0.8520868653,,
151,{SBRF_0=high} => {SBRF_3=low},0.1355363839,0.4132738427,0.8433357302,,
