,rules,support,confidence,lift,,
35,{} => {SBGO_0=low},0.6328384599,0.6328384599,1,,
36,{} => {SBFL_1=low},0.6628052312,0.6628052312,1,,
37,{} => {SBFL_3=low},0.6704264854,0.6704264854,1,,
38,{} => {SBFL_2=low},0.6767063988,0.6767063988,1,,
39,{} => {SBFL_4=low},0.6794500503,0.6794500503,1,,
40,{} => {SBGO_1=low},0.700941987,0.700941987,1,,
41,{} => {SBGO_2=low},0.7222510136,0.7222510136,1,,
42,{} => {SBGO_3=low},0.7333475597,0.7333475597,1,,
43,{} => {SBBE_0=low},0.7481632777,0.7481632777,1,,
44,{} => {SBGO_4=low},0.7534981557,0.7534981557,1,,
45,{} => {SBEG_0=low},0.8020303021,0.8020303021,1,,
46,{} => {SBBE_3=low},0.8494345029,0.8494345029,1,,
47,{} => {SBBE_1=low},0.8720543853,0.8720543853,1,,
48,{} => {SBBE_4=low},0.8786086638,0.8786086638,1,,
49,{} => {SBBE_2=low},0.8839130567,0.8839130567,1,,
50,{} => {SBEG_1=low},0.8906502454,0.8906502454,1,,
51,{} => {SBEG_2=low},0.937536201,0.937536201,1,,
52,{} => {SBEG_3=low},0.9684784928,0.9684784928,1,,
53,{} => {SBEG_4=low},0.9727463951,0.9727463951,1,,
153,{SBFL_0=high} => {SBEG_4=low},0.2578422705,0.9707333869,0.9979305929,,
151,{SBFL_0=high} => {SBEG_2=low},0.2478736701,0.9332032595,0.9953783742,,
58,{SBFL_0=medium} => {SBFL_1=low},0.07474926074,0.6535181237,0.9859881801,,
146,{SBFL_0=high} => {SBBE_3=low},0.2218394659,0.8351887983,0.9832291901,,
144,{SBFL_0=high} => {SBGO_4=low},0.1965369021,0.739928842,0.9819915768,,
147,{SBFL_0=high} => {SBBE_1=low},0.2272353138,0.855503271,0.9810205481,,
150,{SBFL_0=high} => {SBEG_1=low},0.231167881,0.8703087341,0.9771610557,,
60,{SBFL_0=medium} => {SBFL_2=low},0.0748712008,0.6545842217,0.967309047,,
63,{SBFL_0=medium} => {SBGO_2=low},0.07984025851,0.6980277186,0.96646139,,
145,{SBFL_0=high} => {SBEG_0=low},0.2050117367,0.7718351888,0.9623516553,,
149,{SBFL_0=high} => {SBBE_2=low},0.2258939731,0.8504533456,0.962145925,,
124,{SBFL_0=high} => {SBRF_3=low},0.124805658,0.4698726042,0.9588324127,,
68,{SBFL_0=medium} => {SBBE_3=low},0.09300978569,0.8131663113,0.9573031334,,
121,{SBFL_0=high} => {SBRF_2=low},0.1204767857,0.4535751176,0.9560254825,,
142,{SBFL_0=high} => {SBGO_3=low},0.1862024815,0.7010214622,0.9559198131,,
70,{SBFL_0=medium} => {SBBE_4=low},0.09569246715,0.8366204691,0.9522105842,,
123,{SBFL_0=high} => {SBRF_4=low},0.1215742463,0.4577068748,0.9475046456,,
148,{SBFL_0=high} => {SBBE_4=low},0.2196445447,0.8269252841,0.9411758819,,
143,{SBFL_0=high} => {SBBE_0=low},0.1867207268,0.7029725697,0.9395977999,,
61,{SBFL_0=medium} => {SBFL_4=low},0.07221900436,0.6313965885,0.9292759463,,
130,{SBFL_0=high} => {SBVT_4=low},0.1389202207,0.5230115919,0.9286251285,,
117,{SBFL_0=high} => {SBKP_4=low},0.108343749,0.407896247,0.9280863279,,
59,{SBFL_0=medium} => {SBFL_3=low},0.07109105874,0.6215351812,0.9270743248,,
131,{SBFL_0=high} => {SBFZ_3=low},0.1420906624,0.5349477792,0.9257170289,,
141,{SBFL_0=high} => {SBGO_2=low},0.1767216413,0.6653276713,0.9211862064,,
128,{SBFL_0=high} => {SBVT_3=low},0.1293479255,0.4869734879,0.908295407,,
129,{SBFL_0=high} => {SBFZ_0=low},0.1315428467,0.4952370022,0.9038199278,,
132,{SBFL_0=high} => {SBFZ_2=low},0.1417553273,0.5336852978,0.9034669363,,
140,{SBFL_0=high} => {SBGO_1=low},0.1677895314,0.631699759,0.9012154653,,
135,{SBFL_0=high} => {SBGO_0=low},0.1514190775,0.5700677149,0.900810793,,
127,{SBFL_0=high} => {SBVT_2=low},0.1222754016,0.4603466085,0.8964529415,,
133,{SBFL_0=high} => {SBFZ_1=low},0.1390726458,0.523585447,0.8848165174,,
134,{SBFL_0=high} => {SBFZ_4=low},0.1418162973,0.5339148399,0.8809863427,,
138,{SBFL_0=high} => {SBFL_2=low},0.1580038411,0.5948582578,0.879049258,,
126,{SBFL_0=high} => {SBVT_1=low},0.1187391397,0.4470331688,0.8772450967,,
139,{SBFL_0=high} => {SBFL_4=low},0.157759961,0.5939400895,0.8741482752,,
137,{SBFL_0=high} => {SBFL_3=low},0.1554126147,0.5851027201,0.8727321083,,
122,{SBFL_0=high} => {SBRF_1=low},0.1093192696,0.41156892,0.8657066549,,
136,{SBFL_0=high} => {SBFL_1=low},0.1484620309,0.5589349248,0.8432868337,,
125,{SBFL_0=high} => {SBVT_0=low},0.1122153462,0.422472168,0.834388255,,
