,rules,support,confidence,lift
33,{} => {SBFZ_4=low},0.6060421303,0.6060421303,1
34,{} => {SBFL_0=low},0.6200042679,0.6200042679,1
35,{} => {SBGO_0=low},0.6328384599,0.6328384599,1
36,{} => {SBFL_1=low},0.6628052312,0.6628052312,1
37,{} => {SBFL_3=low},0.6704264854,0.6704264854,1
38,{} => {SBFL_2=low},0.6767063988,0.6767063988,1
39,{} => {SBFL_4=low},0.6794500503,0.6794500503,1
40,{} => {SBGO_1=low},0.700941987,0.700941987,1
41,{} => {SBGO_2=low},0.7222510136,0.7222510136,1
42,{} => {SBGO_3=low},0.7333475597,0.7333475597,1
43,{} => {SBBE_0=low},0.7481632777,0.7481632777,1
44,{} => {SBGO_4=low},0.7534981557,0.7534981557,1
45,{} => {SBEG_0=low},0.8020303021,0.8020303021,1
46,{} => {SBBE_3=low},0.8494345029,0.8494345029,1
47,{} => {SBBE_1=low},0.8720543853,0.8720543853,1
48,{} => {SBBE_4=low},0.8786086638,0.8786086638,1
49,{} => {SBBE_2=low},0.8839130567,0.8839130567,1
50,{} => {SBEG_1=low},0.8906502454,0.8906502454,1
51,{} => {SBEG_2=low},0.937536201,0.937536201,1
52,{} => {SBEG_3=low},0.9684784928,0.9684784928,1
53,{} => {SBEG_4=low},0.9727463951,0.9727463951,1
175,{SBKP_0=high} => {SBEG_4=low},0.3424077066,0.9708704296,0.9980714752
58,{SBKP_0=medium} => {SBGR_0=high},0.1060268878,0.422600243,0.9968758645
68,{SBKP_0=medium} => {SBRF_4=low},0.1203243606,0.4795868773,0.9927987085
60,{SBKP_0=medium} => {SBRF_0=low},0.1071853184,0.427217497,0.9922831943
83,{SBKP_0=medium} => {SBFL_3=low},0.1666311008,0.6641555286,0.990646317
85,{SBKP_0=medium} => {SBFL_4=low},0.168856507,0.6730255164,0.9905445089
167,{SBKP_0=high} => {SBEG_0=low},0.2800658476,0.7941049356,0.9901183702
172,{SBKP_0=high} => {SBEG_1=low},0.3105203792,0.8804563921,0.9885545944
171,{SBKP_0=high} => {SBBE_2=low},0.3075328476,0.8719854784,0.9865059372
73,{SBKP_0=medium} => {SBVT_3=low},0.1323049721,0.5273390036,0.9835845418
169,{SBKP_0=high} => {SBBE_1=low},0.3024113648,0.8574639122,0.9832688496
77,{SBKP_0=medium} => {SBFZ_2=low},0.1457183794,0.5808019441,0.9832299207
170,{SBKP_0=high} => {SBBE_4=low},0.304606286,0.8636874406,0.9830172136
168,{SBKP_0=high} => {SBBE_3=low},0.2942718654,0.8343849944,0.9822829088
162,{SBKP_0=high} => {SBGO_1=low},0.2425083072,0.6876134497,0.9809848211
64,{SBKP_0=medium} => {SBGR_3=high},0.1109654605,0.4422843256,0.9787002654
165,{SBKP_0=high} => {SBBE_0=low},0.2580251806,0.731610338,0.9778752309
87,{SBKP_0=medium} => {SBGO_2=low},0.1766911563,0.7042527339,0.9750802984
164,{SBKP_0=high} => {SBGO_3=low},0.2520196324,0.7145820728,0.9744111961
57,{SBKP_0=medium} => {SBCF_3=high},0.1010273451,0.402673147,0.9734606266
69,{SBKP_0=medium} => {SBRF_3=low},0.1194707801,0.4761846902,0.9717129948
