,rules,support,confidence,lift,,
30,{} => {SBFZ_3=low},0.5778739749,0.5778739749,1,,
31,{} => {SBFZ_2=low},0.5907081669,0.5907081669,1,,
32,{} => {SBFZ_1=low},0.5917446575,0.5917446575,1,,
33,{} => {SBFZ_4=low},0.6060421303,0.6060421303,1,,
34,{} => {SBFL_0=low},0.6200042679,0.6200042679,1,,
35,{} => {SBGO_0=low},0.6328384599,0.6328384599,1,,
36,{} => {SBFL_1=low},0.6628052312,0.6628052312,1,,
37,{} => {SBFL_3=low},0.6704264854,0.6704264854,1,,
38,{} => {SBFL_2=low},0.6767063988,0.6767063988,1,,
39,{} => {SBFL_4=low},0.6794500503,0.6794500503,1,,
40,{} => {SBGO_1=low},0.700941987,0.700941987,1,,
41,{} => {SBGO_2=low},0.7222510136,0.7222510136,1,,
42,{} => {SBGO_3=low},0.7333475597,0.7333475597,1,,
43,{} => {SBBE_0=low},0.7481632777,0.7481632777,1,,
44,{} => {SBGO_4=low},0.7534981557,0.7534981557,1,,
45,{} => {SBEG_0=low},0.8020303021,0.8020303021,1,,
46,{} => {SBBE_3=low},0.8494345029,0.8494345029,1,,
47,{} => {SBBE_1=low},0.8720543853,0.8720543853,1,,
48,{} => {SBBE_4=low},0.8786086638,0.8786086638,1,,
49,{} => {SBBE_2=low},0.8839130567,0.8839130567,1,,
50,{} => {SBEG_1=low},0.8906502454,0.8906502454,1,,
51,{} => {SBEG_2=low},0.937536201,0.937536201,1,,
52,{} => {SBEG_3=low},0.9684784928,0.9684784928,1,,
53,{} => {SBEG_4=low},0.9727463951,0.9727463951,1,,
88,{SBSV_0=medium} => {SBFZ_4=low},0.2126329909,0.6056264652,0.9993141317,,
104,{SBSV_0=medium} => {SBBE_2=low},0.310032619,0.883042459,0.999015064,,
103,{SBSV_0=medium} => {SBBE_4=low},0.3080815779,0.8774854563,0.9987216066,,
108,{SBSV_0=medium} => {SBEG_4=low},0.3409444258,0.9710862204,0.9982933118,,
170,{SBSV_0=high} => {SBGO_4=low},0.2668963205,0.7518893851,0.997864931,,
179,{SBSV_0=high} => {SBEG_4=low},0.3443587477,0.9701133631,0.9972931978,,
81,{SBSV_0=medium} => {SBVT_2=low},0.179800628,0.5121125293,0.997258967,,
105,{SBSV_0=medium} => {SBEG_1=low},0.3111910496,0.8863419293,0.9951627296,,
68,{SBSV_0=medium} => {SBRF_0=low},0.150382587,0.4283233481,0.9948517162,,
96,{SBSV_0=medium} => {SBGO_2=low},0.251440417,0.7161587219,0.9915648554,,
172,{SBSV_0=high} => {SBBE_3=low},0.2988141329,0.8418069392,0.9910204216,,
178,{SBSV_0=high} => {SBEG_3=low},0.3401518154,0.9582617657,0.9894507445,,
166,{SBSV_0=high} => {SBGO_1=low},0.2455568088,0.6917725867,0.9869184605,,
